nama,tipe_node,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",Movie,1.3658231496810913,-0.3918575048446655,0.23030704259872437,-0.9676669836044312,-0.2136574685573578,1.2203296422958374,-0.0023906033020466566,0.865622878074646
In God We Trust (or Gimme That Prime Time Religion),Movie,0.325946569442749,0.27088281512260437,-1.5566431283950806,0.2712126076221466,-0.0251631960272789,1.4133658409118652,-0.2558801472187042,0.4686509072780609
Roadie,Movie,0.4228658974170685,0.2741791903972626,-1.216223120689392,0.21667033433914185,-0.6283417344093323,0.9480743408203125,-0.6431504487991333,0.7253481149673462
Just Tell Me What You Want,Movie,-0.3275146484375,0.7326763272285461,-1.1150152683258057,-0.7095012068748474,0.10744524002075195,-1.2546157836914062,-0.5813454389572144,0.6928210258483887
The Last Flight of Noah's Ark,Movie,-0.5116709470748901,-0.7333624958992004,0.710486888885498,0.7170702219009399,-0.3349638879299164,0.6019713878631592,0.9467402100563049,0.25123926997184753
Little Miss Marker,Movie,-0.6840146780014038,0.2800557315349579,-0.010913104750216007,0.2803795635700226,-0.021397478878498077,-1.1485483646392822,-0.2676689922809601,1.4853360652923584
Willie & Phil,Movie,0.6008849143981934,0.39167770743370056,0.5385321378707886,1.4854501485824585,1.181265950202942,-0.5090277791023254,0.04250526428222656,-0.08395248651504517
Babylon,Movie,0.5540981292724609,-0.2706035375595093,-0.049656227231025696,1.991411566734314,0.2587779760360718,0.06171262264251709,-0.5054914355278015,0.05315260589122772
Windwalker,Movie,0.003692630212754011,0.4829217195510864,0.20972445607185364,-1.1888924837112427,1.1612515449523926,0.23904992640018463,-1.3788039684295654,-0.2148178517818451
Phobia,Movie,1.1048524379730225,-0.3423852026462555,-0.54570472240448,-0.48125994205474854,0.20117539167404175,0.37344983220100403,-1.5546417236328125,-0.5327643156051636
Windows,Movie,1.0661908388137817,-0.35594505071640015,-0.6893327236175537,0.043630070984363556,0.31217288970947266,0.6713051795959473,-0.9987145662307739,0.7349421977996826
Loving Couples,Movie,-0.790880560874939,-0.641299843788147,-0.010458223521709442,0.36916375160217285,0.7976148128509521,0.008913811296224594,-0.16528014838695526,-0.5998060703277588
The King and the Mockingbird,Movie,1.4885210990905762,-0.35533374547958374,1.39695405960083,-0.15349505841732025,0.006691846996545792,-0.011922070756554604,1.1773152351379395,-0.32850560545921326
"Oh, God! Book II",Movie,0.4007032513618469,-0.7758237719535828,-0.13479889929294586,-0.5228317379951477,-1.0301584005355835,-0.11733755469322205,-1.2425609827041626,1.1595754623413086
"Those Lips, Those Eyes",Movie,-0.5503745079040527,0.0667598694562912,0.735136866569519,-0.4801746606826782,0.11245614290237427,-0.5891677141189575,-0.7296739220619202,0.7858355641365051
La Cage aux Folles II,Movie,0.20077092945575714,0.2821156978607178,-0.17288300395011902,0.4387616515159607,-0.7633499503135681,1.1057662963867188,0.8214740753173828,-0.3775133192539215
The Gong Show Movie,Movie,-0.6275657415390015,0.335852712392807,-0.010154259391129017,1.3424118757247925,0.8106401562690735,0.009336410090327263,0.6806946992874146,0.19977279007434845
Gilda Live,Movie,0.7463962435722351,1.0816738605499268,-0.03243616223335266,0.6703878045082092,-0.36942049860954285,0.10381408035755157,0.9001126289367676,0.2877101004123688
Why Would I Lie?,Movie,1.334765076637268,0.9227122068405151,-0.10000649094581604,0.9204509258270264,0.5453320741653442,-0.7036562561988831,-0.9857676029205322,-0.8126888871192932
First Family,Movie,-0.5639761686325073,-0.6014890074729919,-0.008863270282745361,0.28981462121009827,0.7219914197921753,0.7469470500946045,0.7629611492156982,0.4773420989513397
Mantis Fist Fighter,Movie,0.17347678542137146,0.8795143365859985,0.8947919011116028,1.2491493225097656,0.02451993152499199,0.5334645509719849,0.9100919365882874,0.5518408417701721
Indiana Jones and the Raiders of the Lost Ark,Movie,1.2085493803024292,-0.6802392601966858,-0.28259581327438354,0.586631715297699,0.1528070569038391,-0.48716020584106445,0.2389831840991974,-0.8843379616737366
Body Heat,Movie,-0.6513930559158325,0.10126623511314392,-0.805654764175415,-0.20301347970962524,1.0547528266906738,-0.904961347579956,-0.6130352020263672,-0.42634207010269165
An American Werewolf in London,Movie,-0.29230982065200806,-0.6591620445251465,0.15300899744033813,-0.3093531131744385,0.8102547526359558,-0.3240413963794708,-0.6554228067398071,0.5831265449523926
Escape from New York,Movie,-0.12938711047172546,0.3439571261405945,1.2190333604812622,0.5219231247901917,-1.0393726825714111,-0.7990054488182068,-0.026323538273572922,0.5144457221031189
The Evil Dead,Movie,0.16246122121810913,0.5380542278289795,0.7812667489051819,-0.5337985754013062,0.4876479208469391,0.7304717898368835,0.7294784784317017,0.29696401953697205
Porky's,Movie,-0.06515847891569138,-0.15573930740356445,-1.1390397548675537,-1.0232213735580444,0.17689670622348785,0.7002928256988525,-0.2668651044368744,0.17284289002418518
Blow Out,Movie,-0.35316935181617737,0.5829996466636658,-0.2036098837852478,0.1828959733247757,-0.7359986305236816,-0.8517431020736694,-0.6293274164199829,1.1397523880004883
Clash of the Titans,Movie,0.14662861824035645,-0.035679858177900314,-1.5172358751296997,0.26364967226982117,-0.25895628333091736,-0.22657716274261475,1.3830089569091797,0.5788738131523132
Excalibur,Movie,0.9971162676811218,0.890193521976471,0.23704493045806885,-0.11443351954221725,0.8571709394454956,0.2202424705028534,-0.9862826466560364,-0.1221451610326767
